Fecha,Región,Provincia,Distrito,Establecimiento,Tipo_Combustible,Precio_Soles_Galon
2026-08-24,La Libertad,Ascope,Ascope,COMBUSTIBLE ZAVALETA PERU E.I.R.L.,Diesel DB5,26.40
2026-08-24,La Libertad,Ascope,Ascope,ESTACION DE SERVICIOS INVERSIONES SAN LORENZO S.A.C.,Diesel DB5,26.50
2026-08-24,La Libertad,Ascope,Ascope,ESTACION DE SERVICIOS INVERSIONES SAN LORENZO S.A.C.,Gasolina Premium,23.00
2026-08-24,La Libertad,Ascope,Ascope,COMBUSTIBLE ZAVALETA PERU E.I.R.L.,Gasolina Regular,21.50
2026-08-24,La Libertad,Ascope,Ascope,ESTACION DE SERVICIOS INVERSIONES SAN LORENZO S.A.C.,Gasolina Regular,21.70
2026-08-24,La Libertad,Ascope,Casa Grande,GASOLINERA DON ARMANDO S.A.C.,Diesel DB5,26.00
2026-08-24,La Libertad,Ascope,Casa Grande,INVERSIONES Y SERVICIOS  GENERALES SANTA TERESITA SAC.,Diesel DB5,26.20
2026-08-24,La Libertad,Ascope,Casa Grande,GASOLINERA DON ARMANDO S.A.C.,Gasolina Premium,23.50
2026-08-24,La Libertad,Ascope,Casa Grande,GASOLINERA DON ARMANDO S.A.C.,Gasolina Regular,22.50
2026-08-24,La Libertad,Ascope,Casa Grande,INVERSIONES Y SERVICIOS  GENERALES SANTA TERESITA SAC.,Gasolina Regular,22.50
2026-08-24,La Libertad,Ascope,Chicama,ESTACION DE SERVICIOS YESSENIA S.A.C.,Diesel DB5,23.99
2026-08-24,La Libertad,Ascope,Chicama,ESTACION VALLE CHICAMA S.A.C,Diesel DB5,23.70
2026-08-24,La Libertad,Ascope,Chicama,ESTACION VALLE CHICAMA S.A.C,Diesel DB5,23.70
2026-08-24,La Libertad,Ascope,Chicama,JOSE ALBERTO LEIVA CARDENAS,Diesel DB5,24.40
2026-08-24,La Libertad,Ascope,Chicama,MULTISERVICIOS CHICAMA EIRL,Diesel DB5,25.59
2026-08-24,La Libertad,Ascope,Chicama,PETRO CRYSMAR S.A.C.,Diesel DB5,23.74
2026-08-24,La Libertad,Ascope,Chicama,ESTACION DE SERVICIOS YESSENIA S.A.C.,Gasolina Premium,21.10
2026-08-24,La Libertad,Ascope,Chicama,ESTACION VALLE CHICAMA S.A.C,Gasolina Premium,20.89
2026-08-24,La Libertad,Ascope,Chicama,ESTACION VALLE CHICAMA S.A.C,Gasolina Premium,20.89
2026-08-24,La Libertad,Ascope,Chicama,JOSE ALBERTO LEIVA CARDENAS,Gasolina Premium,21.20
2026-08-24,La Libertad,Ascope,Chicama,MULTISERVICIOS CHICAMA EIRL,Gasolina Premium,22.99
2026-08-24,La Libertad,Ascope,Chicama,PETRO CRYSMAR S.A.C.,Gasolina Premium,20.39
2026-08-24,La Libertad,Ascope,Chicama,ESTACION DE SERVICIOS YESSENIA S.A.C.,Gasolina Regular,20.10
2026-08-24,La Libertad,Ascope,Chicama,ESTACION VALLE CHICAMA S.A.C,Gasolina Regular,19.69
2026-08-24,La Libertad,Ascope,Chicama,ESTACION VALLE CHICAMA S.A.C,Gasolina Regular,19.69
2026-08-24,La Libertad,Ascope,Chicama,JOSE ALBERTO LEIVA CARDENAS,Gasolina Regular,20.00
2026-08-24,La Libertad,Ascope,Chicama,MULTISERVICIOS CHICAMA EIRL,Gasolina Regular,21.95
2026-08-24,La Libertad,Ascope,Chicama,PETRO CRYSMAR S.A.C.,Gasolina Regular,19.39
2026-08-24,La Libertad,Ascope,Chocope,ESTACION DE SERVICIOS EL TRANSPORTISTA II E.I.R.L.,Diesel DB5,24.60
2026-08-24,La Libertad,Ascope,Chocope,ESTACION DE SERVICIOS INVERSIONES NIKAROLE SAC,Diesel DB5,26.50
2026-08-24,La Libertad,Ascope,Chocope,MUNDO PETROL S.A.C.,Diesel DB5,25.49
2026-08-24,La Libertad,Ascope,Chocope,ESTACION DE SERVICIOS EL TRANSPORTISTA II E.I.R.L.,Gasolina Premium,21.80
2026-08-24,La Libertad,Ascope,Chocope,ESTACION DE SERVICIOS INVERSIONES NIKAROLE SAC,Gasolina Premium,22.90
2026-08-24,La Libertad,Ascope,Chocope,ESTACION DE SERVICIOS EL TRANSPORTISTA II E.I.R.L.,Gasolina Regular,20.50
